Neighborhood	Sector #	Population (2010)	Total # Units (2000)	Total # Units (2010)	% Occupied Units (2010)	% Vacant Units (2010)	# Occupied Units (2010)	% Owner Occupied Units (2010)	% Renter Occupied Units (2010)	Est. Avg. Yrs. of Residence (2010)	% Living in Household (2010)	% Living in Group Quarters (2010)	% Units Built 00-09	% Units Built 90-99	% Units Built 80-89	% Units Built 60-79	% Units Built 40-59	% Units Built before 1939	Median Home Value (2000)	Med. Val. ('00 in '10 Dollars)	Median Home  Value (2010)	% Change Real Value 2000-2010	Median Sale Price (2010)	# Sales Counted (2010)	Foreclosures (2008)	Foreclosures (2010)	% of all Housing Units Foreclosed (2010)
Larimer	12	1728	1428	892	0.7421524663677130373429235987714491784572601318359375	0.257847533632287018168227632486377842724323272705078125	644	0.531055900621117960014316849992610514163970947265625	0.468944099378881984474531918749562464654445648193359375	12	0.92179104477611895074318226761533878743648529052734375	0.078208955223880993745666501126834191381931304931640625	0.1304713804713799885082181617690366692841053009033203125	0.050505050505049997600082178905722685158252716064453125	0	0.1161616161616159936809111741240485571324825286865234375	0.09680134680134699909359596858848817646503448486328125	0.606060606060605966405319122713990509510040283203125	40250.0	50968.5982659	34850.0	-0.316245665259	4754.5	120	10	10	0.01121076233183899983902875874264282174408435821533203125
Lincoln Place	8	3227	1619	1569	0.92734225621414900775363321372424252331256866455078125	0.07265774378585100612415459409021423198282718658447265625	1586	0.883354350567465029797631359542720019817352294921875	0.1166456494325349979579442560861934907734394073486328125	15	1	0	0.0096385542168670006180075660040529328398406505584716796875	0	0.0180722891566259986906306522769227740354835987091064453125	0.166867469879518004471918857234413735568523406982421875	0.437349397590361010923487583568203262984752655029296875	0.368072289156625986894511015634634532034397125244140625	65300.0	82689.4277457	77700.0	-0.0603393672165	55000.0	59	18	13	0.0082855321861060003685306440956992446444928646087646484375
Lincoln-Lemington-Belmar	11	4883	2319	2551	0.79694237553900404424922498947125859558582305908203125	0.203057624460996011261926241786568425595760345458984375	1778	0.63554555680539903672610080320737324655055999755859375	0.364454443194601018785050428050453774631023406982421875	7	0.8095147115017200523112705923267640173435211181640625	0.190485288498280003199880638931063003838062286376953125	0.006398537477148000078563949699628210510127246379852294921875	0.027879341864717001320261857699733809567987918853759765625	0	0.1302559414990860087169011194418999366462230682373046875	0.27605118829981700745435091448598541319370269775390625	0.55941499085923196421532566091627813875675201416015625	44800.0	56730.265896	43766.6666667	-0.228512929114	6575.0	36	15	20	0.0078400627205020001486701630710740573704242706298828125
Lower Lawrenceville	13	2341	1448	1386	0.85137085137085100061682396699325181543827056884765625	0.14862914862914899938317603300674818456172943115234375	1294	0.30602782071097400784509545701439492404460906982421875	0.69397217928902599215490454298560507595539093017578125	2	0.9362352042764410242625672253780066967010498046875	0.0637647957235590034930083902509068138897418975830078125	0.01779359430605000069736121304231346584856510162353515625	0.01209964412811399998848305159526717034168541431427001953125	0.05338078291815000209208363912694039754569530487060546875	0.2163701067615660111886910499379155226051807403564453125	0.1601423487544479939970187842845916748046875	0.54021352313167303460517132407403551042079925537109375	37000.0	46853.1213873	56900.0	0.214433495896	65000.0	63	9	11	0.00793650793650800025214042676680037402547895908355712890625
Manchester	3	2130	1348	1319	0.7854435178165279918260921476758085191249847412109375	0.2145564821834720081739078523241914808750152587890625	821	0.5627283800243609857005822050268761813640594482421875	0.4372716199756390142994177949731238186359405517578125	5	1	0	0.02095084609186100010891351530517567880451679229736328125	0.046736502820306002892181140850880183279514312744140625	0.0918614020950850040936330742624704726040363311767578125	0.1361804995970989917708493521786294877529144287109375	0.1877518130539889973373846032700384967029094696044921875	0.5165189363416600176748261219472624361515045166015625	71900.0	91047.0115607	101300.0	0.112612026068	9202.0	45	13	17	0.01288855193328299932054026299965698854066431522369384765625
Marshall-Shadeland	2	6043	2448	2253	0.8109187749667110534090852524968795478343963623046875	0.189081225033289002102065978760947473347187042236328125	1939	0.61990716864363104576796104083769023418426513671875	0.380092831356369009743190190420136786997318267822265625	7	0.9198849630238290497885600416339002549648284912109375	0.080115036976171005722591189623926766216754913330078125	0.01496259351620999981935522527010107296518981456756591796875	0	0	0.033665835411471001226146881890599615871906280517578125	0.276807980049875002048764827122795395553112030029296875	0.67456359102244400904879739755415357649326324462890625	47100.0	59642.7572254	61900.0	0.0378460500415	13500.0	101	37	37	0.016422547714158998444222703483319492079317569732666015625
Middle Hill	15	1707	1334	1120	0.8214285714285709527615608749329112470149993896484375	0.178571428571428991727287893809261731803417205810546875	967	0.442605997931747985330019901084597222506999969482421875	0.5573940020682519591588288676575757563114166259765625	4	1	0	0.1651305683563749904241291233120136894285678863525390625	0	0.044546850998463997928222823929900187067687511444091796875	0.09139784946236599594282523639776627533137798309326171875	0.07834101382488499465406306399017921648919582366943359375	0.6205837173579109578014367798459716141223907470703125	30200.0	38242.2774566	72800.0	0.903652314707	4317.0	152	4	5	0.0044642857142860002672701824621981359086930751800537109375
Morningside	12	3346	1679	1643	0.92878880097382798819438676218851469457149505615234375	0.07121119902617199792782542999702855013310909271240234375	1645	0.6686930091185410152121448845718987286090850830078125	0.3313069908814589847878551154281012713909149169921875	5	0.99511135252580096288710365115548484027385711669921875	0.004888647474198999816341615343162629869766533374786376953125	0	0	0.0173281162660700004118918826634399010799825191497802734375	0.039128004471771997418994004647174733690917491912841796875	0.2152040245947459962128078814203036017715930938720703125	0.728339854667412023303540991037152707576751708984375	59500.0	75344.8843931	89700.0	0.190525418183	83250.0	48	9	8	0.00486914181375499958981389880818824167363345623016357421875
Mount Washington	6	8799	5251	5175	0.8633816425120770521317581369658000767230987548828125	0.136618357487923003379393094292026944458484649658203125	4681	0.50245674001281803722207541795796714723110198974609375	0.497543259987182018289075813299859873950481414794921875	3.5	1	0	0.0199372346317150013483843196127054397948086261749267578125	0.020860254753553998663395674384446465410292148590087890625	0.039874469263430002696768639225410879589617252349853515625	0.1113162266937419986323476450706948526203632354736328125	0.233339486800812012656791694098501466214656829833984375	0.57467232785674704498291021081968210637569427490234375	55450.0	70216.367052	78175.0	0.113344413591	46000.0	203	60	31	0.005990338164251000387106049771546167903579771518707275390625
Mt. Oliver	7	509	246	232	0.8362068965517239771401136749773286283016204833984375	0.1637931034482759951043107093937578611075878143310546875	213	0.67605633802816900157495183520950376987457275390625	0.32394366197183099842504816479049623012542724609375	12	1	0	0	0	0	0.09859154929577500225956754320577601902186870574951171875	0.3286384976525820178494541323743760585784912109375	0.57276995305164302152434174786321818828582763671875	39200.0	49638.982659	56700.0	0.142247422546	15000.0	6	2	42	0.1810344827586209959235930000431835651397705078125
New Homestead	8	990	387	429	0.93939393939394000287990138531313277781009674072265625	0.060606060606061003259714681234981981106102466583251953125	436	0.903669724770642002198428599513135850429534912109375	0.096330275229357997801571400486864149570465087890625	19	1	0	0.130733944954127989657166608594707213342189788818359375	0.032110091743118997220651777979583130218088626861572265625	0.0298165137614679991162613958977090078406035900115966796875	0.380733944954127989657166608594707213342189788818359375	0.1811926605504589893325118055145139805972576141357421875	0.245412844036696997651603169288136996328830718994140625	90900.0	115106.722543	117400.0	0.0199230540665	100000.0	11	3	3	0.006993006993006999939821444201015765429474413394927978515625
North Oakland	14	10551	4003	3761	0.944961446423822959417293532169423997402191162109375	0.05503855357617699894934304438720573671162128448486328125	3234	0.29344465058750801578213440734543837606906890869140625	0.70655534941249198421786559265456162393093109130859375	5.6666666666666696272613990004174411296844482421875	0.5597540525433200020444246547413058578968048095703125	0.4402459474566799979555753452586941421031951904296875	0.025967143614201999846091695189898018725216388702392578125	0.0174880763116059996520323949198427726514637470245361328125	0.06014838367779500039045359471856500022113323211669921875	0.2276099629040810035096598085146979428827762603759765625	0.271595124536301024686935079444083385169506072998046875	0.397191308956015010078743898702668957412242889404296875	222423.0	281654.373468	273000.0	-0.0307269273388	145000.0	61	1	8	0.0021270938580159998686214262164639876573346555233001708984375
North Shore	16	303	251	241	0.8547717842323649950486696980078704655170440673828125	0.1452282157676350049513303019921295344829559326171875	183	0	1	0	1	0	0.1699029126213590090710425783981918357312679290771484375	0.60194174757281604382086470650392584502696990966796875	0.058252427184466000487095271864745882339775562286376953125	0.058252427184466000487095271864745882339775562286376953125	0.11165048543689300164505340262621757574379444122314453125	0	20000.0	25326.0115607	N/A	N/A	19524500.0	2	0	0	0
Northview Heights	1	1214	879	723	0.636237897648685990503736320533789694309234619140625	0.363762102351314009496263679466210305690765380859375	527	0	1	4	1	0	0	0.105263157894737002795437774693709798157215118408203125	0.028340080971659999120593198540518642403185367584228515625	0.55465587044534403471374162108986638486385345458984375	0.10121457489878500635160918363908422179520130157470703125	0.21052631578947400559087554938741959631443023681640625	29400.0	37229.2369942	N/A	N/A	30902.5	2	0	1	0.0013831258644539999418110465256859242799691855907440185546875
Oakwood	4	1027	551	571	0.95446584938704004397180824526003561913967132568359375	0.04553415061295999766155517818333464674651622772216796875	575	0.438260869565216981680322305692243389785289764404296875	0.5617391304347829628085264630499295890331268310546875	5	1	0	0	0.034883720930233001744635856766763026826083660125732421875	0.081395348837209002823556147632189095020294189453125	0.225913621262458008676077270138193853199481964111328125	0.3820598006644519983865393442101776599884033203125	0.2757475083056479814302974773454479873180389404296875	74500.0	94339.3930636	108500.0	0.150102798805	105000.0	9	0	0	0
Overbrook	5	3644	1726	1706	0.92907385697538102942161231112550012767314910888671875	0.0709261430246189983339633045034133829176425933837890625	1700	0.88235294117647000700088710800628177821636199951171875	0.11764705882352899379839072935283184051513671875	15.5	1	0	0	0	0	0.08942632170978599692734434256635722704231739044189453125	0.5163104611923510223192579360329546034336090087890625	0.394263217097862994631185529215144924819469451904296875	61850.0	78320.6907514	76200.0	-0.027077017977	63150.0	64	18	0	0
Perry North	2	4050	2116	1929	0.87039917055469195883432576010818593204021453857421875	0.1296008294453080134100986242629005573689937591552734375	1698	0.76501766784452296388252534597995691001415252685546875	0.2349823321554770083618990383911295793950557708740234375	7	0.97519307278258804405624005084973759949207305908203125	0.0248069272174120010465703245472468552179634571075439453125	0	0.007025761124122000163272350192755766329355537891387939453125	0.07494145199063199924705003240887890569865703582763671875	0.1203747072599530010261759116474422626197338104248046875	0.222014051522248012648930171053507365286350250244140625	0.57564402810304404756180929325637407600879669189453125	61850.0	78320.6907514	76300.0	-0.0258002161633	43750.0	96	24	20	0.0103680663556250003687342342573174391873180866241455078125
Perry South	2	4145	2612	2361	0.76493011435832303224202632918604649603366851806640625	0.2350698856416769955135492864428670145571231842041015625	1728	0.469328703703703997707208372958120889961719512939453125	0.53067129629629594678164039578405208885669708251953125	5	0.98209718670076695534731925363303162157535552978515625	0.0179028132992329995498703709699839237146079540252685546875	0.04369538077403199716197690349872573278844356536865234375	0.01498127340824000064412047095174784772098064422607421875	0.07948397836038299801852957671144395135343074798583984375	0.1602163961714520024059993374976329505443572998046875	0.248023304203079997254377531135105527937412261962890625	0.453599667082813018392783988019800744950771331787109375	44500.0	56350.3757225	51350.0	-0.0887372206206	4797.5	114	36	15	0.00635324015247800029382307940295504522509872913360595703125
Point Breeze	10	5315	2565	2483	0.95126862666129696766148526876349933445453643798828125	0.048731373338702997644045211700358777306973934173583984375	2458	0.7941415785191210385818294525961391627788543701171875	0.2058584214808789891737461630327743478119373321533203125	9.5	0.98205518875909902920540162085671909153461456298828125	0.0179448112409009985501739947721944190561771392822265625	0.02200303490136600037541114716077572666108608245849609375	0.00531107738998500000793256958786514587700366973876953125	0.009104704097117000127781238916213624179363250732421875	0.07169954476479499516639037892673513852059841156005859375	0.14795144157814898999703245863202027976512908935546875	0.7439301972685889996483865616028197109699249267578125	164000.0	207673.294798	240300.0	0.157105925603	242500.0	78	6	27	0.01087394281111600004285921983182561234571039676666259765625
Point Breeze North	11	2054	1208	1167	0.8903170522707799516837212649988941848278045654296875	0.10968294772922000668291531155773554928600788116455078125	909	0.39493949394939498187540038998122327029705047607421875	0.60506050605060501812459961001877672970294952392578125	3	1	0	0	0.0162733930024409993719824996105671743862330913543701171875	0.050447518307567003337243960459090885706245899200439453125	0.048006509357201000709469695948428125120699405670166015625	0.2343368592351509904769812919766991399228572845458984375	0.6509357200976400026348756000516004860401153564453125	83200.0	105356.208092	99500.0	-0.0555848411642	57250.0	24	7	5	0.0042844901456729998778794055169782950542867183685302734375
Polish Hill	13	1274	928	849	0.82096584216725598803776620115968398749828338623046875	0.17903415783274401196223379884031601250171661376953125	715	0.55664335664335695685878135918756015598773956298828125	0.443356643356642987630067409554612822830677032470703125	8	1	0	0	0.04646017699115000121334873028899892233312129974365234375	0.13163716814159298618136517688981257379055023193359375	0.01216814159291999992984489864511488121934235095977783203125	0.1615044247787610076638742384602664969861507415771484375	0.6482300884955749520344170377939008176326751708984375	40500.0	51285.1734104	62700.0	0.222575567762	19900.0	37	1	3	0.0035335689045939999188006286345853368402458727359771728515625
Regent Square	10	928	562	479	0.95198329853862195815139557453221641480922698974609375	0.04801670146137800021524100202441331930458545684814453125	540	0.755555555555555979907467190059833228588104248046875	0.2444444444444439923369571943112532608211040496826171875	8	1	0	0	0	0	0.0994940978077570037374499634097446687519550323486328125	0.09106239460371000349336867429883568547666072845458984375	0.80944350758853300664696917010587640106678009033203125	113000.0	143091.965318	196300.0	0.371845019836	224900.0	17	1	2	0.0041753653444679995898614066618392826057970523834228515625
Ridgemont	4	483	233	218	0.95871559633027503277702408013283275067806243896484375	0.041284403669725001917445439403309137560427188873291015625	257	0.76264591439688700358345840868423692882061004638671875	0.23735408560311299641654159131576307117938995361328125	13	1	0	0	0	0	0.1077441077441080030663300703963614068925380706787109375	0.74410774410774405129842534734052605926990509033203125	0.1481481481481480011463958135209395550191402435302734375	70300.0	89020.9306358	90500.0	0.0166148494921	52000.0	9	5	0	0
Shadyside	12	13915	8451	8610	0.9334494773519159682706458625034429132938385009765625	0.0665505226480840039737785218676435761153697967529296875	8185	0.294929749541844976601367989132995717227458953857421875	0.7050702504581549678874807796091772615909576416015625	0.40000000000000002220446049250313080847263336181640625	0.956445504278299996059331533615477383136749267578125	0.043554495721699997001774562477294239215552806854248046875	0.0227349847302340014876254059572602272965013980865478515625	0.035742563058477998250150875492181512527167797088623046875	0.0896957357764960050428015847501228563487529754638671875	0.23560683180635699773830538106267340481281280517578125	0.200995362515552999926882193904020823538303375244140625	0.415224522112883021041085385149926878511905670166015625	153560.0	194453.116763	264860.0	0.362076393575	247000.0	204	8	2	0.00023228803716599999624504990780593516319640912115573883056640625
Sheraden	4	5299	2621	2509	0.849740932642486956893890237552113831043243408203125	0.150259067357512987594958531190059147775173187255859375	2237	0.6481895395619130528785944989067502319812774658203125	0.351810460438087002632556732351076789200305938720703125	6.5	1	0	0.0148014440433209999714581073249064502306282520294189453125	0.01985559566786999907694877265385002829134464263916015625	0.048736462093863001932003697902473504655063152313232421875	0.11480144404332100205312627849707496352493762969970703125	0.190613718411552002240938463728525675833225250244140625	0.6111913357400720059331433731131255626678466796875	50500.0	63948.1791908	61600.0	-0.0367200320708	11500.0	115	69	12	0.004782781984855000341483322046087778289802372455596923828125
South Oakland	14	2969	1558	1469	0.89925119128659003475689814877114258706569671630859375	0.10074880871341000687646527467222767882049083709716796875	1134	0.4329805996472659845863972805091179907321929931640625	0.5670194003527340154136027194908820092678070068359375	4	0.960381511371974028179465676657855510711669921875	0.0396184886280259995761099389710579998791217803955078125	0.02022178734507500130757051692853565327823162078857421875	0.005218525766471000283674985809057034202851355075836181640625	0.103718199608611005846370289873448200523853302001953125	0.06914546640573999980450281555022229440510272979736328125	0.1337247227658190096288848280892125330865383148193359375	0.66797129810828403950750953299575485289096832275390625	47700.0	60402.5375723	77200.0	0.278091999159	93000.0	51	10	34	0.0231449965963240016086910344483840162865817546844482421875
South Shore	16	19	40	15	0.66666666666666696272613990004174411296844482421875	0.333333333333332981762708868700428865849971771240234375	18	0	1	16	1	0	0	0	0	1	0	0	N/A	N/A	N/A	N/A	200.0	1	0	5	0.333333333333332981762708868700428865849971771240234375
South Side Flats	7	6597	3613	4326	0.87263060564031402766005385274183936417102813720703125	0.1273693943596860000955217628870741464197635650634765625	3921	0.432542718694211014707207141327671706676483154296875	0.567457281305788985292792858672328293323516845703125	1.5	1	0	0.1528451698279660042611993731043185107409954071044921875	0.019188354653727000831420212989542051218450069427490234375	0.0099250110277900004118745158621095470152795314788818359375	0.03815615350683700113254559482811600901186466217041015625	0.12329069254521400622603977126345853321254253387451171875	0.656594618438465005283433129079639911651611328125	77100.0	97631.7745665	153750.0	0.574794688335	174500.0	158	18	0	0
South Side Slopes	7	4423	2580	2552	0.83463949843260198946381933637894690036773681640625	0.16536050156739801053618066362105309963226318359375	2218	0.6122633002705140103927305972320027649402618408203125	0.3877366997294859896072694027679972350597381591796875	6	1	0	0.025009061254078000791079006148720509372651576995849609375	0.0105110547299749994276663045411623897962272167205810546875	0.01667270750271800106023789567188941873610019683837890625	0.046393620877128997903593443652425776235759258270263671875	0.095324392895976994832807349666836671531200408935546875	0.8060891627401229886373812405508942902088165283203125	43700.0	55337.3352601	73050.0	0.320085249075	47700.0	113	20	9	0.0035266457680250000612798277899173626792617142200469970703125
Spring Garden	1	884	621	552	0.74637681159420299348283833751338534057140350341796875	0.25362318840579700651716166248661465942859649658203125	608	0.513157894736842035143808971042744815349578857421875	0.486842105263158020367342260215082205832004547119140625	7	1	0	0	0.0179640718562870012331433855479190242476761341094970703125	0.1646706586826350016128372999446582980453968048095703125	0	0.2365269461077839918683451969627640210092067718505859375	0.58083832335329399487733326168381609022617340087890625	29800.0	37735.7572254	48000.0	0.272003095453	8252.0	24	7	18	0.032608695652174002344025893762591294944286346435546875
Spring Hill-City View	1	2648	1392	1326	0.87481146304675705405173857798217795789241790771484375	0.125188536953243001459412653275649063289165496826171875	1191	0.497061293031065998260231708627543412148952484130859375	0.502938706968933946228617060114629566669464111328125	5	0.95633027522935798447889510498498566448688507080078125	0.04366972477064200164331708720055758021771907806396484375	0	0	0.08379888268156400477071343857460306026041507720947265625	0.1731843575418990088810033967092749662697315216064453125	0.328910614525139977093459719981183297932147979736328125	0.4141061452513969953770356369204819202423095703125	43700.0	55337.3352601	58900.0	0.0643808510681	11750.0	42	14	7	0.0052790346907989997571331031167574110440909862518310546875
Squirrel Hill North	10	11363	3969	3892	0.9301130524152110279345606613787822425365447998046875	0.0698869475847889998210149542501312680542469024658203125	3889	0.59244021599382901133168388696503825485706329345703125	0.40755978400617098866831611303496174514293670654296875	6	0.70522942234034202702019911157549358904361724853515625	0.29477057765965797297980088842450641095638275146484375	0.0177671068427369995001985358840101980604231357574462890625	0.0096038415366150008123380388269652030430734157562255859375	0.05498199279711900311351513437330140732228755950927734375	0.12244897959183699553964430606356472708284854888916015625	0.255942376950779981736872059627785347402095794677734375	0.53925570228091201929743192522437311708927154541015625	254667.0	322484.969306	344900.0	0.0695072106519	337500.0	103	6	9	0.0023124357656730001008005270790590657270513474941253662109375
Squirrel Hill South	10	15110	7069	7514	0.945568272557891997820433971355669200420379638671875	0.054431727442108002179566028644330799579620361328125	7135	0.4562018220042050042906112139462493360042572021484375	0.5437981779957949957093887860537506639957427978515625	2.666666666666670071350608850480057299137115478515625	0.9594779771615009611451796445180661976337432861328125	0.04052202283849899722145693203856353648006916046142578125	0.0210664911125739984232296819754992611706256866455078125	0.0181698485845949997408155240918858908116817474365234375	0.049637919684003002640526602817772072739899158477783203125	0.150625411454904989394520953283063136041164398193359375	0.267017774851875999697625729822902940213680267333984375	0.49348255431204701704217541191610507667064666748046875	134633.0	170485.845723	201400.0	0.181329741167	218250.0	176	12	2	0.0002661698163429999995470420781629172779503278434276580810546875
St. Clair	7	209	768	165	0.50303030303030304981604103886638768017292022705078125	0.496969696969697005695110192391439341008663177490234375	328	0.445121951219511979846998883658670820295810699462890625	0.55487804878048796464184988508350215852260589599609375	9	1	0	0	0	0	0.1126482213438740054289866066028480418026447296142578125	0.54940711462450597668549789887038059532642364501953125	0.337944664031620989330662041538744233548641204833984375	45000.0	56983.5260116	41100.0	-0.278738911459	23000.0	5	1	18	0.10909090909090900234357235376592143438756465911865234375
Stanton Heights	13	4601	2142	2223	0.94331983805667996012545017947559244930744171142578125	0.05668016194331999824118639708103728480637073516845703125	2115	0.8189125295508270507838233243091963231563568115234375	0.181087470449173004727327906948630698025226593017578125	9.5	1	0	0.01025869759143599978246097492728949873708188533782958984375	0.01070472792149899932123702228636830113828182220458984375	0.00579839429081199959903347718181976233609020709991455078125	0.10214094558429999415327671385966823436319828033447265625	0.55798394290811803575280691802618093788623809814453125	0.313113291703836005286376575895701535046100616455078125	66750.0	84525.5635838	86700.0	0.0257251927582	80710.0	78	24	1	0.00044984255510600000549370491853551357053220272064208984375
Strip District	13	616	195	473	0.8520084566596199948662615497596561908721923828125	0.14799154334038100433446061288123019039630889892578125	254	0.37007874015747999063563611343852244317531585693359375	0.62992125984252000936436388656147755682468414306640625	0	1	0	0	0	0.052264808362368998795322028172449790872633457183837890625	0.1289198606271780012111349833503481931984424591064453125	0.045296167247386998067071317564113996922969818115234375	0.77351916376306595335421434356248937547206878662109375	215900.0	273394.294798	161800.0	-0.40818077378	250000.0	17	0	20	0.042283298097252002001322779278780217282474040985107421875
Summer Hill	1	1051	551	510	0.9431372549019609863307778141461312770843505859375	0.05686274509803899979143437803941196762025356292724609375	539	0.64749536178107602868436742937774397432804107666015625	0.352504638218924026826783801880083046853542327880859375	5	1	0	0	0.0389610389610390017711694099489250220358371734619140625	0	0.233766233766234010627016459693550132215023040771484375	0.32467532467532500550788654436473734676837921142578125	0.402597402597403009050225364262587390840053558349609375	76100.0	96365.4739884	94400.0	-0.0203960392357	67500.0	21	6	0	0
Swisshelm Park	10	1361	627	625	0.96319999999999994511057366253226064145565032958984375	0.036799999999999999378275106209912337362766265869140625	608	0.87006578947368395926531547956983558833599090576171875	0.1299342105263160129791089048012509010732173919677734375	12	1	0	0	0	0	0.163934426229507990147027385319233871996402740478515625	0.35022354694485802184544809279032051563262939453125	0.485842026825632988806802359249559231102466583251953125	82000.0	103836.647399	108600.0	0.0458735207702	124000.0	19	2	2	0.0032000000000000001533495552763497471460141241550445556640625
Terrace Village	15	3228	2074	1509	0.838966202783300030176860673236660659313201904296875	0.1610337972166999975787149423922528512775897979736328125	1286	0.031104199066873998436033588177451747469604015350341796875	0.96889580093312599462507250791531987488269805908203125	0	0.63377556661138800819799143937416374683380126953125	0.36622443338861199180200856062583625316619873046875	0.23803526448362699596827951609157025814056396484375	0.198362720403022996240594011396751739084720611572265625	0.0119647355163730005622735319548155530355870723724365234375	0.2260705289672539919365590321831405162811279296875	0.210957178841309989092422938483650796115398406982421875	0.1146095717884129949748484023075434379279613494873046875	54500.0	69013.3815029	59300.0	-0.140746349351	4658.0	9	2	1	0.000662690523525999962417554201010716496966779232025146484375
Troy Hill	1	2714	1415	1608	0.8389303482587060489805708130006678402423858642578125	0.161069651741294006530580418257159180939197540283203125	1335	0.5565543071161049848427637698478065431118011474609375	0.4434456928838950151572362301521934568881988525390625	3	1	0	0.0029815146094220000561048067311276099644601345062255859375	0.050685748360167003079279623989350511692464351654052734375	0	0.004174120453190000197551956517827420611865818500518798828125	0.06440071556350600301410480597041896544396877288818359375	0.87775790101371498064253273696522228419780731201171875	43400.0	54957.4450867	52600.0	-0.0428958275441	24900.0	63	13	2	0.00124378109452699995261804044588416218175552785396575927734375
Upper Hill	15	2057	1171	1240	0.819354838709676958075078800902701914310455322265625	0.180645161290322986413769967839471064507961273193359375	924	0.75432900432900396037183554653893224895000457763671875	0.2456709956709960118725888378321542404592037200927734375	10	1	0	0.00905797101449300028075395374571598949842154979705810546875	0.007246376811594000023897255147176110767759382724761962890625	0.030797101449274999485083981198840774595737457275390625	0.0778985507246379993429030719198635779321193695068359375	0.1385869565217389964839611593561130575835704803466796875	0.7364130434782609757604632250149734318256378173828125	39400.0	49892.2427746	66300.0	0.328863893723	8003.0	52	9	11	0.008870967741934999983843823656570748426020145416259765625
Upper Lawrenceville	13	2669	1504	1442	0.809986130374479973426105061662383377552032470703125	0.1900138696255199988183193227087031118571758270263671875	1183	0.60608622147083701658942800349905155599117279052734375	0.39391377852916298341057199650094844400882720947265625	5	1	0	0.011385199240986999813518565360936918295919895172119140625	0.006325110689436999784895920839744576369412243366241455078125	0.004427577482605999682763187053069486864842474460601806640625	0.07969639468690699335429172833755728788673877716064453125	0.101834282099937001309086781475343741476535797119140625	0.79633143580012599738182643704931251704692840576171875	35900.0	45460.1907514	48700.0	0.0712669523599	38000.0	65	14	7	0.004854368932039000196498879091677736141718924045562744140625
West End	4	254	211	165	0.745454545454546035898601985536515712738037109375	0.254545454545455018813271408362197689712047576904296875	62	0.33870967741935498196426124195568263530731201171875	0.66129032258064501803573875804431736469268798828125	4	1	0	0	0	0	0.09482758620689700490569151725139818154275417327880859375	0.172413793103448009791378581212484277784824371337890625	0.7327586206896550269362933249794878065586090087890625	26800.0	33936.8554913	29800.0	-0.121898609386	14382.5	10	2	8	0.048484848484847999083857672530939453281462192535400390625
West Oakland	14	2604	638	687	0.86462882096069904047652698864112608134746551513671875	0.1353711790393009872790486269877874292433261871337890625	580	0.384482758620689979434104088795720599591732025146484375	0.6155172413793099650547446799464523792266845703125	2	0.5892785167271259449961462451028637588024139404296875	0.410721483272873999492702523639309220016002655029296875	0.1019283746556469971711322841656510718166828155517578125	0.2190082644628099928230113846439053304493427276611328125	0	0.139118457300275000232403499467181973159313201904296875	0.06887052341597800497741133085582987405359745025634765625	0.4710743801652890194731071460410021245479583740234375	47500.0	60149.2774566	61100.0	0.0158060509378	66000.0	17	3	1	0.0014556040756910000079360489877444706507958471775054931640625
Westwood	4	3066	1499	1496	0.9378342245989299552633156054071150720119476318359375	0.06216577540107000310332097114951466210186481475830078125	1470	0.7823129251700680075742866392829455435276031494140625	0.2176870748299319924257133607170544564723968505859375	9	1	0	0.00737553779963100002159404056101266178302466869354248046875	0.02704363859864800101462378734140656888484954833984375	0.0282728948985860005504999747927286080084741115570068359375	0.253226797787338975265214457976981066167354583740234375	0.44191763982790399634126288219704292714595794677734375	0.2421634910878920077248466213859501294791698455810546875	72200.0	91426.9017341	93700.0	0.0248624663286	70000.0	49	11	2	0.00133689839572200008278868299527175622642971575260162353515625
Windgap	4	1369	667	671	0.9359165424739199767856234757346101105213165283203125	0.0640834575260799954588009086364763788878917694091796875	615	0.910569105691056979168251928058452904224395751953125	0.0894308943089429930761724563126335851848125457763671875	13	1	0	0	0.0290697674418599998069634438024877454154193401336669921875	0.03197674418604599944071509298737510107457637786865234375	0.4011627906976740209898935063392855226993560791015625	0.2165697674418599893986225879416451789438724517822265625	0.321220930232557988492914091693819500505924224853515625	66000.0	83575.8381503	78200.0	-0.0643228745205	59950.0	22	4	13	0.0193740685543959990921880631731255562044680118560791015625
